brewery_name,type,address,website,state,state_breweries
Valley Brewing Co.,Brewpub,"PO Box 4653, Stockton, California, 95204",http://www.valleybrew.com/,california,284
Valley Brewing Co.,Brewpub,"157 Adams St., Stockton, California, 95204",http://www.valleybrew.com/,california,284
Valley Brewing Co,Microbrewery,"1950 W Freemont, Stockton, California, 95203",http://www.valleybrew.com/,california,284
Ukiah Brewing Company,Brewpub,"102 S. State St., Ukiah, California, 95482",http://www.ukiahbrewingco.com/,california,284
Tustin Brewing Co.,Brewpub,"13011 Newport Ave. #100, Tustin, California, 92780",http://www.tustinbrewery.com/,california,284
Trumer Brauerei,Microbrewery,"1404 4th St., Berkeley, California, 94608",http://www.trumer-international.com/,california,284
Trumer Brauerei,RegionalBrewery,"1404 Fourth St., Berkeley, California, 94710",http://www.trumer-international.com/,california,284
Triple Rock Brewing Co.,Brewpub,"1920 Shattuck Ave, Berkeley, California, 94704",http://www.triplerock.com/,california,284
Tied House Cafe & Brewery (San Jose),Brewpub,"65 N. San Pedro, San Jose, California, 95110",http://www.tiedhouse.com/,california,284
Tied House Cafe & Brewery (Mt. View),Brewpub,"954 Villa St., Mountain View, California, 94041",http://www.tiedhouse.com/,california,284
Thirsty Bear Brewing Co.,Microbrewery,"661 Howard St., San Francisco, California, 94105",http://thirstybear.com/,california,284
Third Street Ale Works,Brewpub,"610 3rd St., Santa Rosa, California, 95404",http://www.thirdstreetaleworks.com/,california,284
The Brewhouse,Brewpub,"229 W. Montecito, Santa Barbara, California, 93101",http://www.brewhousesb.com/,california,284
The Beach Chalet,Brewpub,"1000 Great Highway, San Francisco, California, 94121",http://www.beachchalet.com/,california,284
Telegraph Brewing Company,Microbrewery,"416 N. Salsipuedes St., Santa Barbara, California, 93103",http://www.telegraphbrewing.com/,california,284
Taylor's Restaurant & Brewery,Brewpub,"721 Grand Ave., San Diego, California, 92109",                                                                            -                                                                    ,california,284
Taps Fishouse & Brewery,Brewpub,"101 E. Imperial Hwy., Brea, California, 92821",http://www.tapsbrea.com/,california,284
"Tailgate Brewery, LLC",ContractBrewery,"6827 Airoso Ave, San Diego, California, 92120",http://tailgatebeer.com/,california,284
Sudwerk Privatbrauerei Hübsch,Brewpub,"2001 2nd St., Davis, California, 95616",http://www.sudwerk.com/,california,284
Sudwerk Brewery & Grill,Brewpub,"1375 Exposition Blvd., Sacramento, California, 95815",http://www.sudwerk.com/,california,284
Stumptown Brewery,Microbrewery,"15045 River Rd., Guerneville, California, 95446",http://www.stumptown.com/brews/,california,284
Stone Brewing/World Bistro & Gardens,RegionalBrewery,"1999 Citracado Pkwy., Escondido, California, 92029",https://www.stonebrewing.com/,california,284
Steelhead Brewing Co - Burlingame,Brewpub,"333 California Dr, Burlingame, California, 94010",http://www.steelheadbrewery.com/,california,284
Steelhead Brewery & Cafe,Brewpub,"4175 Campus Dr., Irvine, California, 92612",http://www.steelheadbrewery.com/,california,284
Stadium Brewing Company,Brewpub,"26731 Aliso Creek Rd. Ste. C, Aliso Viejo, California, 92656",http://stadiumbrewing.com/index.html,california,284
St. Stan's Brewing Co.,Brewpub,"821 L. Street, Modesto, California, 95354",http://ststans.com/,california,284
Speakeasy Ales and Lagers,Microbrewery,"1195-A Evans Ave., San Francisco, California, 94124",http://www.goodbeer.com/,california,284
Spanish Peaks Brewing Co. ,ContractBrewery,"PO Box 820, King City, California, 93930",http://www.blackdogales.com/,california,284
Sonoma Chicken & Brewery,Brewpub,"200 E. Campbell Ave., Campbell, California, 95008",http://www.sonomachickencoop.com/,california,284
Solana Beach Brewery (Pizza Port),Brewpub,"135 N. Highway 101, Solana Beach, California, 92075",http://www.pizzaport.com/,california,284
Snowshoe Brewing Company,Brewpub,"19040 Standard Rd. , Sonora, California, 95370",http://www.snowshoebrewing.com/,california,284
Snowshoe Brewing Company,Brewpub,"2050 Hwy. 4 , Arnold, California, 95223",http://www.snowshoebrewing.com/,california,284
Snowshoe Brewing Co.,Brewpub,"PO Box 2224, Arnold, California, 95223",http://www.snowshoebrewing.com/,california,284
Skyscraper Brewing Company,Microbrewery,"3229 Durfee Ave., El Monte, California, 91732",http://www.skyscraperbrewing.com/home.html,california,284
Six Rivers Brewing Co.,Brewpub,"1300 Central Ave., McKinleyville, California, 95519",http://www.sixriversbrewery.com/,california,284
Silverado Brewing Company,Brewpub,"3020 n St. Helena Hwy. Ste. A, St. Helena, California, 94574",http://www.silveradobrewingcompany.com/,california,284
Sierra Nevada Brewing Co.,Brewpub,"1075 E. 20th St., Chico, California, 95928",http://www.sierranevada.com/,california,284
Sierra Madre Brewing Co.,ContractBrewery,"21 Kersting Court, Sierra Madre, California, 91024",http://www.sierramadrenews.net/smbc/index.htm,california,284
Shmaltz Brewing Co,ContractBrewery,"912 Cole Street, #338, San Francisco, California, 94117",http://shmaltzbrewing.com/,california,284
Sequoia Brewing Company,Brewpub,"777 East Olive Ave., Fresno, California, 93728",http://sequoiabrewing.com/,california,284
Sequoia Brewing Company,MultitapBar,"1188 E. Champlain Dr., Fresno, California, 93728",http://sequoiabrewing.com/,california,284
Seabright Brewery,Brewpub,"519 Seabright Ave. Suite 107, Santa Cruz, California, 95062",http://www.seabrightbrewery.com/,california,284
Schooners Grille & Brewery,Brewpub,"4250 Lone Tree Way, Antioch, California, 94509",http://www.schoonersbrewery.com/,california,284
Santa Cruz Mountain Brewing Co.,Microbrewery,"402 Ingalls St. #27, Santa Cruz, California, 95060",http://www.santacruzmountainbrewing.com/,california,284
Santa Cruz Aleworks,Microbrewery,"150 Dubois St. , Santa Cruz, California, 95060",http://www.santacruzaleworks.com/,california,284
Santa Barbara Brewing Co.,Brewpub,"501 State St., Santa Barbara, California, 93101",http://www.sbbrewco.com/,california,284
San Pedro Brewing Company,Brewpub,"331 W. 6th St., San Pedro, California, 90731",http://www.sanpedrobrewing.com/,california,284
San Marcos Brewery & Grill,Brewpub,"1080 W. Old San Marcos Blvd., San Marcos, California, 92069",http://www.sanmarcosbrewery.com/,california,284
San Francisco Brewing Co.,Brewpub,"155 Columbus Ave., San Francisco, California, 94133",http://www.sfbrewing.com/,california,284
San Diego Brewing Company,Brewpub,"10450 Friar's Road - Suite L, San Diego, California, 92120",http://www.sandiegobrewing.com/,california,284
Ruth McGowan's Brewpub,Brewpub,"131 E. 1st St., Cloverdale, California, 95425",http://www.ruthmcgowansbrewpub.com/,california,284
Russian River Brewing Co.,Microbrewery,"725 4th Street, Santa Rosa, California, 95404",http://www.russianriverbrewing.com/,california,284
Rubicon Brewing Company,Brewpub,"2004 Capital Ave., Sacramento, California, 95814",http://www.rubiconbrewing.com/,california,284
Rogue Ales Public House,Brewpub,"673 Union St. (@ Powell), San Francisco, California, 94133",http://rogue.com/index.php,california,284
Rock Bottom Restaurant & Brewery,Brewpub,"1875 S. Bascom Ave. #700, Campbell, California, 95008",http://www.rockbottom.com/,california,284
Rock Bottom Restaurant & Brewery,Brewpub,"8980 Villa La Jolla Dr., La Jolla, California, 92037",http://www.rockbottom.com/,california,284
Rock Bottom Restaurant & Brewery,Brewpub,"401 G Street, San Diego, California, 92101",http://www.rockbottom.com/,california,284
Rock Bottom Restaurant & Brewery,Brewpub,"1 Pine Ave., Long Beach, California, 90802",http://www.rockbottom.com/,california,284
Riverside Brewing Co.,Brewpub-Closed,"3397 7th St., Riverside, California, 92501",http://www.facebook.com/pages/Riverside-Brewing-Co/51553507625,california,284
River City Brewing,Brewpub,"545 Downtown Plaza, Ste. 1115 , Sacramento, California, 95814",http://www.rivercitybrewing.net/,california,284
Revolutionary Brewing Co.,Microbrewery,"31872 Marcasite Ln, Castaic, California, 91384",http://revbrew.com/,california,284
Redondo Beach Brewing Company,Brewpub,"1814 S. Catalina Ave., Redondo Beach, California, 90277",http://www.redondobeachbrewery.com/,california,284
Red Rock Winery & Brewery,Microbrewery,"7326 East Hwy 140, Merced, California, 95340",http://www.redrockwinery.com/,california,284
Red Car Brewery & Restaurant,Brewpub,"1266 Sartori Ave., Torrance, California, 90501",http://www.redcarbrewery.com/,california,284
Reaper Ale,ContractBrewery,"26741 Portola Pkwy, Foothill Ranch, California, 92610",http://www.reaperale.com/,california,284
