Name,IATA,ICAO,Callsign,Country,Active
135 Airways,,GNL,GENERAL,United States,N
3D Aviation,,SEC,SECUREX,United States,N
40-Mile Air,Q5,MLA,MILE-AIR,United States,Y
Aloha Airlines,AQ,AAH,ALOHA,United States,Y
Alaska Island Air,,AAK,ALASKA ISLAND,United States,N
American Airlines,AA,AAL,AMERICAN,United States,Y
Aviation Management Corporation,,AAM,AM CORP,United States,N
Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,N
Astro Air International,,AAV,ASTRO-PHIL,United States,N
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
Airborne Express,GB,ABX,ABEX,United States,N
ABX Air,GB,ABX,ABEX,United States,N
Academy Airlines,,ACD,ACADEMY,United States,N
Air Aurora,,AAI,BOREALIS,United States,N
Advance Leasing Company,4G,,,United States,N
Aztec Worldwide Airlines,7A,,,United States,N
Aerodyne,,ADY,AERODYNE,United States,N
Anderson Aviation,,ADX,ANDAX,United States,N
Alaska Central Express,KO,AER,ACE AIR,United States,Y
Airway Express,,AEX,AVCO,United States,N
Aerial Transit Company,,AEZ,AERIAL TRANZ,United States,N
Air Guam,,AGM,AIR GUAM,United States,N
Air Cargo America,,MVM,PEGASUS,United States,N
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
Atlantic Gulf Airlines,,AGF,ATLANTIC GULF,United States,N
Atlantic Coast Airlines,,BLR,BLUE RIDGE,United States,N
Aero Flight Service,,AGY,FLIGHT GROUP,United States,N
Aspen Helicopters,,AHF,ASPEN,United States,N
Alpine Air Express,5A,AIP,ALPINE AIR,United States,N
Airlift International,,AIR,AIRLIFT,United States,Y
Air Illinois,,AIL,AIR ILLINOIS,United States,N
Ameristar Jet Charter,,AJI,AMERISTAR,United States,N
A2 Jet Leasing,,AJJ,ATLANTIC JET,United States,N
Amerijet International,M6,AJT,AMERIJET,United States,N
Alpha Jet International,,AJW,ALPHAJET,United States,N
American Flyers,,FYS,AMERICAN FLYERS,United States,N
Aero Coach Aviation,,DFA,AERO COACH,United States,N
Atlantic Southeast Airlines,,CAA,Chandler,United States,N
Air Logistics,,ALG,AIRLOG,United States,N
Air Lincoln,,ALN,CHICAGO LINCOLN,United States,N
America West Airlines,HP,AWE,CACTUS,United States,Y
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
Arizona Express Airlines,,TMP,TEMPE,United States,N
Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,Y
Alyeska Air Service,,ALY,ALYESKA,United States,N
Air Sunshine,,RSI,AIR SUNSHINE,United States,Y
Ameriflight,,AMF,AMFLIGHT,United States,N
Air Specialties Corporation,,AMR,AIR AM,United States,N
ATA Airlines,,AMT,AMTRAN,United States,Y
Air Midwest,ZV,AMW,AIR MIDWEST,United States,N
Air Nevada,,ANV,AIR NEVADA,United States,N
Air Vegas,6V,VGA,AIR VEGAS,United States,N
Atlantic Airlines,,BJK,BLACKJACK,United States,N
ACM Aviation,,BJT,BAY JET,United States,N
Aspen Aviation,,APQ,ASPEN BASE,United States,N
Arrow Air,JW,APW,BIG A,United States,Y
Apex Air Cargo,,APX,PARCEL EXPRESS,United States,N
Aluminum Company Of America,,AQO,ALCOA SHUTTLE,United States,N
Aerodyne Charter Company,,AQZ,QUANZA,United States,N
Air Routing International Corp.,,ARC, ,United States,N
Arrowhead Airways,,ARH,ARROWHEAD,United States,N
Argosy Airways,,ARY,GOSEY,United States,N
Air Resorts,,ARZ,AIR RESORTS,United States,N
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States,Y
Air Transport Association,,ATA,,United States,N
Air Charter World,,XAC,,United States,N
Air Travel Corp.,,ATH,AIR TRAVEL,United States,N
Air Transport International,8C,ATN,AIR TRANSPORT,United States,N
Atlas Airlines,,ATR,ATLAS-AIR,United States,N
Austin Express,,TXX,COWBOY,United States,N
Airvantage Incorporated,,AVV,AIRVANTAGE,United States,N
Action Airlines (Action Air Charter),,AXQ,ACTION AIR,United States,N
Altus Airlines,,AXS,ALTUS,United States,N
Arizona Pacific Airways,,AZP,ARIZONA PACIFIC,United States,N
Air Continental Inc,,NAR,NIGHT AIR,United States,N
Air Newark,,NER,NEWAIR,United States,N
Angel Flight America,,NGF,ANGEL FLIGHT,United States,N
Advance Aviation Services,,XTJ,,United States,N
Air Spirit,,SIP,AIR SPIRIT,United States,N
Aroostook Aviation,,PXX,PINE STATE,United States,N
American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States,Y
Aero Air,,WIL,WILLIAMETTE,United States,N
Aero Industries Inc,,WAB,WABASH,United States,N
Aeronautical Radio Inc,,XAA,,United States,N
Air-Rep,,XPR,,United States,N
Air Net Private Charter,,WDR,WIND RIDER,United States,N
Aircraft Performance Group,,XLB,,United States,N
Air-Lift Associates,,WPK,WOLFPACK,United States,N
Aviation Partners,,WLT,WINGLET,United States,N
Aviation North,,WLV,WOLVERINE,United States,N
AMR Services Corporation,,XAM,ALLIANCE,United States,N
Airline Operations Services,,XAO,,United States,N
AT and T Aviation Division,,XAT,,United States,N
Averitt Air Charter,,VRT,AVERITT,United States,N
American Flight Service Systems,,XFS,,United States,N
Air Charter Professionals,,CHV,CHARTAIR,United States,N
Arctic Circle Air Service,5F,CIR,AIR ARCTIC,United States,N
Aviation Charter Services,,CKL,CIRCLE CITY,United States,N
Air Care Alliance,,CMF,COMPASSION,United States,N
Aquila Air,,CNH,CHENANGO,United States,N
Aero Charter and Transport,,CTA,CHAR-TRAN,United States,N
Air Transport,,CYO,COYOTE,United States,N
Access Air,ZA,CYD,CYCLONE,United States,Y
Air Alpha,,DBA,DOUBLE-A,United States,N
Astar Air Cargo,ER,DHL,DAHL,United States,N
Aerodynamics Incorporated,,DNJ,DYNAJET,United States,N
Aex Air,,DST,DESERT,United States,N
Aero Dynamics,,DYN,AERO DYNAMIC,United States,N
Epps Air Service,,EPS,EPPS AIR,United States,N
Air Exchange,,EXG,EXCHANGE,United States,N
Aviation Data Systems,,FBW,,United States,N
Air Carriers,,FCI,FAST CHECK,United States,N
Air Florida,QH,FLZ,AIR FLORIDA,United States,Y
Ford Motor Company,,FRD,FORD,United States,N
Aero Charter,,GLT,GASLIGHT,United States,N
Airlift Alaska,,GSP,GREEN SPEED,United States,N
Atlas Air,5Y,GTI,GIANT,United States,Y
Air Tahoma,,HMA,TAHOMA,United States,N
Avfinity,,UTX,,United States,N
Aerosmith Aviation,,JPR,JASPER,United States,N
Air South,,KKB,KHAKI BLUE,United States,N
Av Atlantic,,KYC,DOLPHIN,United States,N
American Aviation,,LKP,LAKE POWELL,United States,N
Air Solutions,,LKY,LUCKY,United States,N
Atlantic Aero and Mid-Atlantic Freight,,MDC,NIGHT SHIP,United States,N
Asia Pacific Airlines,,MGE,MAGELLAN,United States,N
AMP Incorporated,,MMP,AMP-INC,United States,N
Atlantic Richfield Company,,NRS,NORTH SLOPE,United States,N
Air Cargo Express International,,PFT,PROFREIGHT,United States,N
Atlantic Coast Jet,,PRT,PATRIOT,United States,N
Aero Taxi Aviation,,QKC,QUAKER CITY,United States,N
Air Center Helicopters,,RAP,RAPTOR,United States,N
Air Mobility Command,MC,RCH,REACH,United States,N
Air Cargo Masters,,RNR,RUNNER,United States,N
Anoka Air Charter,,RZZ,RED ZONE,United States,N
American Jet International,,SCM,SCREAMER,United States,N
Air San Juan,,SJN,SAN JUAN,United States,N
Aeropac,,STK,SAT PAK,United States,N
Air St. Thomas,,STT,PARADISE,United States,N
Air Cargo Express,,TDG,TURBO DOG,United States,N
Air Today,,TDY,AIR TODAY,United States,N
Airmark Aviation,,TRH,TRANSTAR,United States,N
AirTran Airways,FL,TRS,CITRUS,United States,Y
Avcenter,,TTE,TETON,United States,N
Air LA,,UED,AIR L-A,United States,N
Air Castle Corporation / Global Airways,,GLB,GLO-AIR,United States,N
Baker Aviation,8Q,BAJ,BAKER AVIATION,United States,N
Blackhawk Airways,,BAK,BLACKHAWK,United States,N
Bar Harbor Airlines,,AJC,BAR HARBOR,United States,N
Basler Flight Service,,BFC,BASLER,United States,N
Bighorn Airways,,BHR,BIGHORN AIR,United States,N
Big Island Air,,BIG,BIG ISLE,United States,N
