Area Code,Country/Region,Item Code,Item,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,,,,,,,,,,,,179.428022,107.570513,113.020082,100.33718,103.304193,104.458436
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,,,,,,,,,,,,178.764823,106.517103,113.269889,100.033799,101.414864,104.8102
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,,,,,,,,,,,,177.441298,106.997124,112.540564,100.783036,100.19424,105.08146
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7004,April,,,,,,,,,,,,,178.573023,108.111145,115.14226,102.648832,100,105.629523
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7005,May,,,,,,,,,,,,,179.643392,108.569856,114.242937,102.878615,99.837911,105.071647
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7006,June,,,,,,,,,,,,,101.1,106.645058,114.037371,101.802737,99.569244,105.658534
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7007,July,,,,,,,,,,,,,102.7,105.384583,115.612894,103.540715,98.894037,106.780899
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7008,August,,,,,,,,,,,,,104,106.452737,117.086269,102.057496,99.230657,107.066865
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7009,September,,,,,,,,,,,,,102.7,106.313593,115.984729,100.822443,100.392558,107.431341
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7010,October,,,,,,,,,,,,,105.6,107.895539,117.400544,101.211159,101.099022,107.728387
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7011,November,,,,,,,,,,,,,106.4,111.113508,120.530491,101.150903,102.234102,108.938901
2,Afghanistan,23013,"Consumer Prices, Food Indices (2010 = 100)",7012,December,,,,,,,,,,,,,107.2,111.920961,99.962742,102.888778,103.691742,109.757679
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7001,January,,,,,,,67.19627,76.055576,78.388845,95.217615,109.040662,94.489892,107.670895,116.195893,124.578838,133.06585,134.239579,131.995255
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7002,February,,,,,,,67.835963,76.594443,78.34106,94.594338,103.002874,93.420512,107.094151,115.360815,124.880821,131.489825,131.736508,131.806923
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7003,March,,,,,,60.0775,69.053129,75.593072,79.182145,95.597552,98.707332,93.624776,106.847834,115.799381,124.384706,131.39705,130.5195,131.761714
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7004,April,,,,,,61.005514,69.694423,75.399878,79.355997,107.283731,96.965085,94.20152,107.851128,117.557729,126.455448,132.304099,126.600543,132.289109
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7005,May,,,,,,61.978202,70.432542,75.773607,80.28742,114.90423,96.784852,95.871674,108.313725,117.967564,126.077969,133.004484,126.433141,131.925978
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7006,June,,,,,,63.603684,71.006255,75.036797,81.090718,108.079422,97.205395,98.689309,108.836399,117.083185,125.873051,132.848853,126.35514,132.536452
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7007,July,,,,,,63.954606,71.128306,74.73641,81.7054,110.963142,97.025162,98.839503,110.24822,116.371367,126.983918,134.929961,126.174142,133.671605
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7008,August,,,,,,64.426516,71.475669,76.016062,82.93198,114.507715,98.166635,103.213145,111.359654,117.363597,128.116355,133.711356,127.120591,134.023055
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7009,September,,,,,,64.433979,72.763852,76.65889,85.964019,116.694199,99.24803,104.53485,110.710817,117.913638,127.318257,132.67649,128.757321,135.258431
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7010,October,,,,,,65.05458,73.549685,78.10075,85.51805,114.567792,98.406945,105.760431,112.867599,120.00595,128.418338,133.334536,129.456616,135.861233
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7011,November,,,,,,65.801601,74.315224,77.794642,89.467228,112.645312,97.866247,107.89919,114.940273,122.713013,130.640071,133.50977,131.195753,137.230659
2,Afghanistan,23012,"Consumer Prices, General Indices (2010 = 100)",7012,December,,,,,,67.091531,75.240373,77.866006,91.064821,111.74415,96.965085,109.455197,115.679226,123.543467,132.676516,134.412767,131.940962,137.941931
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,,,,,,,,,,,,,,,,113.8,113.3
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,,,,,,,,,,,,,,,,115.5,112.7
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,,,,,,,,,,,,,,,,115.2,113.2
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7004,April,,,,,,,,,,,,,,,,,114.85,114.3
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7005,May,,,,,,,,,,,,,,,,,114.7,112.5
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7006,June,,,,,,,,,,,,,,,,,113.9,111.8
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7007,July,,,,,,,,,,,,,,,,114.3,113,113
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7008,August,,,,,,,,,,,,,,,,113.5,113.9,112.9
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7009,September,,,,,,,,,,,,,,,,114.1,113.8,112.3
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7010,October,,,,,,,,,,,,,,,,113.1,114.9,112.9
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7011,November,,,,,,,,,,,,,,,,114,114.4,114
284,Åland Islands,23013,"Consumer Prices, Food Indices (2010 = 100)",7012,December,,,,,,,,,,,,,,,,114.2,113.4,113.8
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7001,January,,,,,,,,,,,,,,,,,107.4,108.5
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7002,February,,,,,,,,,,,,,,,,,108.1,108.5
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7003,March,,,,,,,,,,,,,,,,,107.7,109.1
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7004,April,,,,,,,,,,,,,,,,,107.6,109.3
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7005,May,,,,,,,,,,,,,,,,,107.8,108.7
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7006,June,,,,,,,,,,,,,,,,,109.4,109.2
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7007,July,,,,,,,,,,,,,,,,109.5,109.4,109.6
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7008,August,,,,,,,,,,,,,,,,109.1,109.5,109.3
284,Åland Islands,23012,"Consumer Prices, General Indices (2010 = 100)",7009,September,,,,,,,,,,,,,,,,109,109.2,109.1
